,accuracy,precision_weighted,recall_weighted,f1_weighted,cohen_kappa
bert-base-uncased,0.1180633147113594,0.026439938629132603,0.1180633147113594,0.04173823516201809,0.0031463678798296923
distilbert-base-uncased,0.12327746741154562,0.027212676806169917,0.12327746741154562,0.04419085937757812,0.013127663431423242
roberta-base,0.10726256983240223,0.011505258887050967,0.10726256983240223,0.0207814464256521,0.0
