Unnamed: 0,accuracy,precision_weighted,recall_weighted,f1_weighted,cohen_kappa,Topsis Score,Rank
bert-base-uncased,0.1180633147113594,0.0264399386291326,0.1180633147113594,0.041738235162018,0.0031463678798296,0.571794634256516,2.0
distilbert-base-uncased,0.1232774674115456,0.0272126768061699,0.1232774674115456,0.0441908593775781,0.0131276634314232,0.0,3.0
roberta-base,0.1072625698324022,0.0115052588870509,0.1072625698324022,0.0207814464256521,0.0,1.0,1.0
